simulation,nct_id,rank,simulated_score
386,NCT02744196,2,12.517709412180627
386,NCT02057250,3,6.069109646130104
387,NCT00996203,1,42.50547969518102
387,NCT02744196,2,10.871622269532864
387,NCT02057250,3,0.014629002508307482
388,NCT00996203,1,48.62033048963788
388,NCT02744196,2,8.403303268405244
388,NCT02057250,3,0.0
389,NCT00996203,1,46.69216265465908
389,NCT02744196,2,20.35550988289864
389,NCT02057250,3,10.926153476008313
390,NCT00996203,1,40.76806717020203
390,NCT02744196,2,8.268957659675111
390,NCT02057250,3,1.0610816659025897
391,NCT00996203,1,50.83100425323299
391,NCT02744196,2,6.806459037609261
391,NCT02057250,3,0.0
392,NCT00996203,1,44.76638596621494
392,NCT02744196,2,14.772582170470555
392,NCT02057250,3,4.549619603571287
393,NCT00996203,1,48.681083958310566
393,NCT02744196,2,14.192008993909985
393,NCT02057250,3,4.240014145813788
394,NCT00996203,1,47.03551345953846
394,NCT02744196,2,17.491589261899463
394,NCT02057250,3,6.9196806880193735
395,NCT00996203,1,56.2321098169918
395,NCT02744196,2,12.444502990519805
395,NCT02057250,3,0.6159692267420138
396,NCT00996203,1,48.460957758403644
396,NCT02744196,2,8.729123277460667
396,NCT02057250,3,0.0
397,NCT00996203,1,46.43651760321331
397,NCT02744196,2,10.192386947204122
397,NCT02057250,3,1.1810395796350757
398,NCT00996203,1,46.6120875493117
398,NCT02744196,2,9.600757791118951
398,NCT02057250,3,0.7068382289216534
399,NCT00996203,1,48.009948665178676
399,NCT02744196,2,17.14475396392306
399,NCT02057250,3,4.648236798966028
400,NCT00996203,1,46.03697388774125
400,NCT02744196,2,14.243531471691192
400,NCT02057250,3,0.12184236626122996
401,NCT00996203,1,48.27520142001997
401,NCT02744196,2,13.854203735570783
401,NCT02057250,3,1.5335382978775431
402,NCT00996203,1,48.33410964898731
402,NCT02744196,2,12.589994451482752
402,NCT02057250,3,4.298978913576227
403,NCT00996203,1,50.137374623635644
403,NCT02744196,2,15.037700356620377
403,NCT02057250,3,4.510425930077478
404,NCT00996203,1,46.44763979603749
404,NCT02744196,2,10.447883703184864
404,NCT02057250,3,0.0
405,NCT00996203,1,46.65904906431488
405,NCT02744196,2,13.766972660465349
405,NCT02057250,3,2.7179891635655666
406,NCT00996203,1,48.56302990996743
406,NCT02744196,2,12.360429565302457
406,NCT02057250,3,1.9453693802833107
407,NCT00996203,1,43.9604778212083
407,NCT02744196,2,7.297835915779613
407,NCT02057250,3,0.0
408,NCT00996203,1,45.35210251894697
408,NCT02744196,2,12.042254863159776
408,NCT02057250,3,0.0
409,NCT00996203,1,47.27943920206686
409,NCT02744196,2,14.451800139264313
409,NCT02057250,3,3.2465711433183415
410,NCT00996203,1,42.08764521620363
410,NCT02744196,2,8.782488727378384
410,NCT02057250,3,0.7539540868641966
411,NCT00996203,1,49.958120678775046
411,NCT02744196,2,14.098547530413422
411,NCT02057250,3,4.322384779580646
412,NCT00996203,1,50.70836800101921
412,NCT02744196,2,17.083319539146437
412,NCT02057250,3,7.672369433394791
413,NCT00996203,1,46.71662878551287
413,NCT02744196,2,12.637242216884445
413,NCT02057250,3,0.49457252902092963
414,NCT00996203,1,59.58586333586254
414,NCT02744196,2,15.300791555447017
414,NCT02057250,3,3.228029939662279
415,NCT00996203,1,52.05193875026553
415,NCT02744196,2,10.871660760395683
415,NCT02057250,3,2.4271684185453837
416,NCT00996203,1,43.070135688601006
416,NCT02744196,2,10.28301480064253
416,NCT02057250,3,0.0
417,NCT00996203,1,48.68227152351166
417,NCT02744196,2,11.758871576765701
417,NCT02057250,3,0.0
418,NCT00996203,1,41.75152395263409
418,NCT02744196,2,12.580843571462575
418,NCT02057250,3,3.249842931506311
419,NCT00996203,1,48.38595315096178
419,NCT02744196,2,14.658946964050173
419,NCT02057250,3,0.0
420,NCT00996203,1,44.029870600110534
420,NCT02744196,2,15.118760394181807
420,NCT02057250,3,1.9332157460027966
421,NCT00996203,1,47.056416325937896
421,NCT02744196,2,11.357994940278262
421,NCT02057250,3,3.917527634457578
422,NCT00996203,1,46.453348888619374
422,NCT02744196,2,6.032498851824096
422,NCT02057250,3,0.0
423,NCT00996203,1,44.882218337198346
423,NCT02744196,2,14.90874427429358
423,NCT02057250,3,4.388020329387044
424,NCT00996203,1,44.31687473136734
424,NCT02744196,2,15.864225802491164
424,NCT02057250,3,6.581532239242946
425,NCT00996203,1,43.84463299458275
425,NCT02744196,2,7.872693554117199
425,NCT02057250,3,0.0
426,NCT00996203,1,48.1283544831123
426,NCT02744196,2,9.197683778702146
426,NCT02057250,3,0.7293664949229495
427,NCT00996203,1,46.85023990587632
427,NCT02744196,2,14.624259763462161
427,NCT02057250,3,1.137194781552769
428,NCT00996203,1,36.97781737484188
428,NCT02744196,2,8.418864097256963
428,NCT02057250,3,0.0
429,NCT00996203,1,42.30200344582569
429,NCT02744196,2,11.68438490308104
429,NCT02057250,3,4.547232357259371
430,NCT00996203,1,52.35761026911131
430,NCT02744196,2,15.43157959002539
430,NCT02057250,3,7.068706023198749
431,NCT00996203,1,43.59333047899839
431,NCT02744196,2,12.509534270721037
431,NCT02057250,3,1.9943602280136734
432,NCT00996203,1,51.00362737804074
432,NCT02744196,2,14.84083642968238
432,NCT02057250,3,8.829373123327576
433,NCT00996203,1,43.39803060263674
433,NCT02744196,2,10.057408484284105
433,NCT02057250,3,0.0
434,NCT00996203,1,48.4997723278455
434,NCT02744196,2,8.897943025766466
434,NCT02057250,3,0.2238338796788888
435,NCT00996203,1,45.46177678932029
435,NCT02744196,2,12.460254153780665
435,NCT02057250,3,2.4964205753585107
436,NCT00996203,1,45.21911119560707
436,NCT02744196,2,9.265030670590182
436,NCT02057250,3,1.9095607750443462
437,NCT00996203,1,47.43177424751464
437,NCT02744196,2,16.19091535911715
437,NCT02057250,3,2.58726613890113
438,NCT00996203,1,44.14953567873924
438,NCT02744196,2,12.722136183299169
438,NCT02057250,3,0.0
439,NCT00996203,1,50.031957588483124
439,NCT02744196,2,11.687827679011358
439,NCT02057250,3,2.936213906475627
440,NCT00996203,1,42.8640478809441
440,NCT02744196,2,12.157487944193198
440,NCT02057250,3,2.1697250682208606
441,NCT00996203,1,46.81106169455892
441,NCT02744196,2,11.921899259738556
441,NCT02057250,3,0.18100554577966355
442,NCT00996203,1,46.45870832831893
442,NCT02744196,2,10.900775042150606
442,NCT02057250,3,2.910535426159294
443,NCT00996203,1,42.95207665031894
443,NCT02744196,2,18.06476490165544
443,NCT02057250,3,1.5194230023242492
444,NCT00996203,1,45.34089416440447
444,NCT02744196,2,13.187351065422433
444,NCT02057250,3,3.3942158782179295
445,NCT00996203,1,40.31309808268976
445,NCT02744196,2,14.341275843909596
445,NCT02057250,3,6.747077851226015
446,NCT00996203,1,46.22098499137946
446,NCT02744196,2,10.22020084893661
446,NCT02057250,3,0.0
447,NCT00996203,1,43.71517309867372
447,NCT02744196,2,6.977571838132163
447,NCT02057250,3,0.0
448,NCT00996203,1,49.58874793656341
448,NCT02744196,2,13.705008741258574
448,NCT02057250,3,2.6812605069201934
449,NCT00996203,1,43.868710964691395
449,NCT02744196,2,12.003148801427798
449,NCT02057250,3,0.0
450,NCT00996203,1,46.92878537755788
450,NCT02744196,2,13.111629831302329
450,NCT02057250,3,6.930657881134342
451,NCT00996203,1,47.48526272268579
451,NCT02744196,2,11.957285202106698
451,NCT02057250,3,0.0
452,NCT00996203,1,48.25327382871858
452,NCT02744196,2,16.074866508702566
452,NCT02057250,3,3.462842800788594
453,NCT00996203,1,44.82494737856937
453,NCT02744196,2,8.407997043998025
453,NCT02057250,3,0.0
454,NCT00996203,1,44.58444181660335
454,NCT02744196,2,13.754979900636938
454,NCT02057250,3,3.974231207220169
455,NCT00996203,1,42.96850460690656
455,NCT02744196,2,16.839270145851977
455,NCT02057250,3,6.677261136434182
456,NCT00996203,1,41.24827006218137
456,NCT02744196,2,9.550704726960822
456,NCT02057250,3,0.0
457,NCT00996203,1,47.506415411022935
457,NCT02744196,2,11.403862845894691
457,NCT02057250,3,0.0
458,NCT00996203,1,48.55257299643539
458,NCT02744196,2,13.709073446120248
458,NCT02057250,3,1.7957502295667203
459,NCT00996203,1,46.0032076694986
459,NCT02744196,2,10.818109557967386
459,NCT02057250,3,1.7782613764180246
460,NCT00996203,1,44.73076688750761
460,NCT02744196,2,12.074018745703478
460,NCT02057250,3,0.0
461,NCT00996203,1,45.447805442054126
461,NCT02744196,2,4.590183128493306
461,NCT02057250,3,0.9286792333223354
462,NCT00996203,1,46.84357998105271
462,NCT02744196,2,18.02456212677934
462,NCT02057250,3,3.6582500710382493
463,NCT00996203,1,44.08052372317046
463,NCT02744196,2,13.729963399485346
463,NCT02057250,3,0.5237954414035769
464,NCT00996203,1,44.61226150472736
464,NCT02744196,2,9.683487424065735
464,NCT02057250,3,0.0
465,NCT00996203,1,49.79752978915633
465,NCT02744196,2,11.739130458827324
465,NCT02057250,3,0.0
466,NCT00996203,1,49.191076937244745
466,NCT02744196,2,20.180608393337376
466,NCT02057250,3,9.822454853004482
467,NCT00996203,1,46.855281181125335
467,NCT02744196,2,14.990341621028577
467,NCT02057250,3,2.989353983675584
468,NCT00996203,1,44.26132213410299
468,NCT02744196,2,8.995171909267388
468,NCT02057250,3,0.0
469,NCT00996203,1,46.60021266516328
469,NCT02744196,2,11.065079412425574
469,NCT02057250,3,1.5450081773979416
470,NCT00996203,1,43.58352978185079
470,NCT02744196,2,16.532088511943186
470,NCT02057250,3,7.118576960003945
471,NCT00996203,1,43.64667798708263
471,NCT02744196,2,9.848475016902498
471,NCT02057250,3,0.0
472,NCT00996203,1,44.48157663532466
472,NCT02744196,2,13.215633706872385
472,NCT02057250,3,3.7532868189941735
473,NCT00996203,1,46.755871087560564
473,NCT02744196,2,6.738489568496811
473,NCT02057250,3,0.0
474,NCT00996203,1,48.02708238968633
474,NCT02744196,2,13.75751951657345
474,NCT02057250,3,1.8458281094449864
475,NCT00996203,1,48.508043434639866
475,NCT02744196,2,17.528787986491384
475,NCT02057250,3,1.8082404771602545
476,NCT00996203,1,49.9443253872128
476,NCT02744196,2,12.481111110541535
476,NCT02057250,3,0.0
477,NCT00996203,1,38.75472162070632
477,NCT02744196,2,10.903105277185022
477,NCT02057250,3,0.0
478,NCT00996203,1,49.60895348796333
478,NCT02744196,2,10.00442086615045
478,NCT02057250,3,3.191334195301882
479,NCT00996203,1,46.22219682711327
479,NCT02744196,2,18.3655664150188
479,NCT02057250,3,2.4775106583575965
480,NCT00996203,1,51.686816720204455
480,NCT02744196,2,14.596577392714993
480,NCT02057250,3,3.925137663509785
481,NCT00996203,1,52.559026144452794
481,NCT02744196,2,16.386907085919727
481,NCT02057250,3,5.632811953345149
482,NCT00996203,1,47.78630138499358
482,NCT02744196,2,10.66898173482672
482,NCT02057250,3,0.0
483,NCT00996203,1,42.11983112656306
483,NCT02744196,2,7.888767857589139
483,NCT02057250,3,1.6593132437787161
484,NCT00996203,1,44.95397833676967
484,NCT02744196,2,17.10438675340435
484,NCT02057250,3,9.404070547275447
485,NCT00996203,1,43.514056130688104
485,NCT02744196,2,6.367027391914721
485,NCT02057250,3,0.0
486,NCT00996203,1,47.65801741775912
486,NCT02744196,2,6.262057297356328
486,NCT02057250,3,0.0
487,NCT00996203,1,51.97245891537221
487,NCT02744196,2,15.027530889065691
487,NCT02057250,3,9.638975628008245
488,NCT00996203,1,48.19812790816345
488,NCT02744196,2,16.188306476683
488,NCT02057250,3,6.874241070968204
489,NCT00996203,1,45.50105387351956
489,NCT02744196,2,14.476859349079493
489,NCT02057250,3,6.758686005806861
490,NCT00996203,1,47.18600392980196
490,NCT02744196,2,19.65345501785645
490,NCT02057250,3,7.401260207418127
491,NCT00996203,1,46.11187783608497
491,NCT02744196,2,13.01246952800673
491,NCT02057250,3,0.3732123204580292
492,NCT00996203,1,48.23254618991973
492,NCT02744196,2,9.921048225536113
492,NCT02057250,3,4.894452294715248
493,NCT00996203,1,45.46040511489865
493,NCT02744196,2,7.355170812253877
493,NCT02057250,3,0.0
494,NCT00996203,1,43.61986993764419
494,NCT02744196,2,14.126959577061621
494,NCT02057250,3,6.61465498520618
495,NCT00996203,1,40.94309240823442
495,NCT02744196,2,13.113100079980327
495,NCT02057250,3,2.723636823794269
496,NCT00996203,1,47.43561689267414
496,NCT02744196,2,9.775458389178876
496,NCT02057250,3,0.0
497,NCT00996203,1,47.36632181307087
497,NCT02744196,2,10.750466168776525
497,NCT02057250,3,0.0
498,NCT00996203,1,44.09969909285439
498,NCT02744196,2,11.58327328236844
498,NCT02057250,3,4.155687942693561
499,NCT00996203,1,46.69473219499597
499,NCT02744196,2,15.246874643403618
499,NCT02057250,3,6.340166136672081
500,NCT00996203,1,45.97165866656928
500,NCT02744196,2,13.589710978621053
500,NCT02057250,3,0.6122929467198128
501,NCT00996203,1,40.71017783923405
501,NCT02744196,2,13.736912056539738
501,NCT02057250,3,1.580281759290636
502,NCT00996203,1,54.922542048763866
502,NCT02744196,2,12.078414067727595
502,NCT02057250,3,2.459370993183186
503,NCT00996203,1,50.10520575018538
503,NCT02744196,2,13.469131646244065
503,NCT02057250,3,0.0
504,NCT00996203,1,43.211404124117344
504,NCT02744196,2,8.97652997345293
504,NCT02057250,3,0.9278627519155761
505,NCT00996203,1,46.334264947409785
505,NCT02744196,2,9.809230809365536
505,NCT02057250,3,0.0
506,NCT00996203,1,45.71089293584616
506,NCT02744196,2,11.915311509251124
506,NCT02057250,3,2.986156603247221
507,NCT00996203,1,48.30924374175592
507,NCT02744196,2,12.162210614692613
507,NCT02057250,3,0.0
508,NCT00996203,1,40.463213672741574
508,NCT02744196,2,13.300947742330587
508,NCT02057250,3,1.1962065807575024
509,NCT00996203,1,50.689239843036326
509,NCT02744196,2,19.137138090056283
509,NCT02057250,3,9.743909505291747
510,NCT00996203,1,52.88397275655628
510,NCT02744196,2,11.733853034362488
510,NCT02057250,3,0.0
511,NCT00996203,1,45.61405360960963
511,NCT02744196,2,17.6095354125852
511,NCT02057250,3,4.878026030296289
512,NCT00996203,1,42.45583668807275
512,NCT02744196,2,13.29794071241549
512,NCT02057250,3,5.195898019143966
513,NCT00996203,1,49.02826843852775
513,NCT02744196,2,13.604710928298095
513,NCT02057250,3,3.239764216235103
514,NCT00996203,1,44.67004682178732
514,NCT02744196,2,13.175199701306125
514,NCT02057250,3,4.405250914972063
515,NCT00996203,1,45.341924471462995
515,NCT02744196,2,12.670192308662914
515,NCT02057250,3,0.0
516,NCT00996203,1,40.29254160425755
516,NCT02744196,2,4.00345432531827
516,NCT02057250,3,0.0
517,NCT00996203,1,50.60495722544102
517,NCT02744196,2,23.433648078598008
517,NCT02057250,3,10.56002023904605
518,NCT00996203,1,45.81450720926467
518,NCT02744196,2,10.488011255059833
518,NCT02057250,3,0.0740640876342731
519,NCT00996203,1,45.66781759569918
519,NCT02744196,2,14.452948892626852
519,NCT02057250,3,1.02171881231128
520,NCT00996203,1,44.65424482484042
520,NCT02744196,2,8.88098779138209
520,NCT02057250,3,0.0
521,NCT00996203,1,47.97456042476153
521,NCT02744196,2,13.225780054570802
521,NCT02057250,3,3.7681706512442097
522,NCT00996203,1,42.225007592632636
522,NCT02744196,2,11.925061280916257
522,NCT02057250,3,0.0
523,NCT00996203,1,40.884165246055574
523,NCT02744196,2,10.909085928408773
523,NCT02057250,3,0.0
524,NCT00996203,1,50.474455231796824
524,NCT02744196,2,18.963415308025024
524,NCT02057250,3,7.832022176183603
525,NCT00996203,1,50.516420495360094
525,NCT02744196,2,11.13905932739793
525,NCT02057250,3,0.0
526,NCT00996203,1,46.093100475641755
526,NCT02744196,2,5.58228777476449
526,NCT02057250,3,0.0
527,NCT00996203,1,47.788534009662406
527,NCT02744196,2,10.94891686416433
527,NCT02057250,3,0.8547793439800132
528,NCT00996203,1,44.39457618570097
528,NCT02744196,2,11.861670095667787
